"3 AL 2014 Agapostemon","3 AL 2014 Agapostemon","4 AL 2014 Agapostemon","2 AL 2014 Agapostemon","3 AL 2014 Agapostemon","3 AL 2014 Agapostemon","2 AL 2014 Agapostemon","3 AL 2014 Agapostemon","2 AL 2014 Agapostemon","3 AL 2014 Agapostemon"
"AL N , 3 W Elev: pan m","AL N , 3 W Elev: net m","AL N , 3 W Elev: net m","AL N , 3 W Elev: pan m","AL N , 3 W Elev: pan m","AL N , 4 W Elev: pan m","AL N , 4 W Elev: net m","AL N , 4 W Elev: pan m","AL N , 10 W Elev: pan m","AL N , 10 W Elev: pan m"
"RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA"
"1829 col.: splendens clear.debris","1791 col.: splendens clear.debris","1972 col.: splendens clear.debris","1507 col.: splendens clear.debris","1846 col.: splendens clear.debris","1807 col.: splendens clear.debris","1479 col.: splendens clear.debris","1811 col.: splendens clear.debris","1472 col.: splendens clear.debrisremoved","1744 col.: splendens clear.debrisremoved"
"2 AL 2014 Apis","2 AL 2014 Apis","2 AL 2014 Apis","4 AL 2014 Apis","4 AL 2014 Apis","3 AL 2014 Apis","3 AL 2014 Apis","3 AL 2014 Apis","3 AL 2014 Apis","4 AL 2014 Apis"
"AL N , 2 W Elev: net m","AL N , 2 W Elev: net m","AL N , 2 W Elev: net m","AL N , 5 W Elev: net m","AL N , 5 W Elev: net m","AL N , 10 W Elev: net m","AL N , 10 W Elev: net m","AL N , 10 W Elev: net m","AL N , 11 W Elev: net m","AL N , 14 W Elev: pan m"
"RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA"
"1513 col.: mellifera naturalref","1515 col.: mellifera naturalref","1520 col.: mellifera naturalref","2013 col.: mellifera mature","2014 col.: mellifera mature","1587 col.: mellifera clear.debrisremoved","1591 col.: mellifera clear.debrisremoved","1592 col.: mellifera clear.debrisremoved","1589 col.: mellifera young","1896 col.: mellifera unthinned"
"4 AL 2014 Augochlorella","3 AL 2014 Augochloropsis","3 AL 2014 Augochloropsis","3 AL 2014 Augochloropsis","3 AL 2014 Bombus","3 AL 2014 Bombus","2 AL 2014 Bombus","2 AL 2014 Bombus","2 AL 2014 Bombus","2 AL 2014 Bombus"
"AL N , 7 W Elev: pan m","AL N , 2 W Elev: net m","AL N , 3 W Elev: net m","AL N , 4 W Elev: net m","AL N , 1 W Elev: net m","AL N , 1 W Elev: net m","AL N , 1 W Elev: net m","AL N , 1 W Elev: net m","AL N , 2 W Elev: net m","AL N , 2 W Elev: net m"
"RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA"
"1864 col.: aurata unthinned","1858 col.: metallica naturalref","1792 col.: metallica clear.debris","1802 col.: sumptuosa clear.debris","1861 col.: impatiens naturalref","1860 col.: impatiens naturalref","1522 col.: griseocolis naturalref","1523 col.: impatiens naturalref","1509 col.: bimaculatus naturalref","1510 col.: impatiens naturalref"
"2 AL 2014 Bombus","2 AL 2014 Bombus","2 AL 2014 Bombus","2 AL 2014 Bombus","2 AL 2014 Bombus","3 AL 2014 Bombus","4 AL 2014 Bombus","4 AL 2014 Bombus","4 AL 2014 Bombus","4 AL 2014 Bombus"
"AL N , 2 W Elev: net m","AL N , 2 W Elev: net m","AL N , 2 W Elev: net m","AL N , 2 W Elev: net m","AL N , 2 W Elev: net m","AL N , 3 W Elev: net m","AL N , 3 W Elev: net m","AL N , 3 W Elev: net m","AL N , 3 W Elev: net m","AL N , 3 W Elev: net m"
"RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA"
"1511 col.: impatiens naturalref","1512 col.: griseocolis naturalref","1514 col.: bimaculatus naturalref","1517 col.: griseocolis naturalref","1518 col.: impatiens naturalref","1794 col.: pensylvanicus clear.debris","1963 col.: griseocolis clear.debris","1964 col.: pensylvanicus clear.debris","1965 col.: pensylvanicus clear.debris","1966 col.: griseocolis clear.debris"
"4 AL 2014 Bombus","4 AL 2014 Bombus","4 AL 2014 Bombus","3 AL 2014 Bombus","3 AL 2014 Bombus","4 AL 2014 Bombus","4 AL 2014 Bombus","4 AL 2014 Bombus","4 AL 2014 Bombus","3 AL 2014 Bombus"
"AL N , 3 W Elev: net m","AL N , 3 W Elev: net m","AL N , 3 W Elev: net m","AL N , 3 W Elev: net m","AL N , 3 W Elev: net m","AL N , 4 W Elev: net m","AL N , 4 W Elev: net m","AL N , 4 W Elev: net m","AL N , 4 W Elev: net m","AL N , 4 W Elev: net m"
"RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA","RMBL Gothic, CO USA"
"1967 col.: pensylvanicus clear.debris","1968 col.: pensylvanicus clear.debris","1970 col.: griseocolis clear.debris","1781 col.: griseocolis clear.debris","1787 col.: griseocolis clear.debris","1985 col.: impatiens clear.debris","1987 col.: impatiens clear.debris","1988 col.: impatiens clear.debris","1989 col.: griseocolis clear.debris","1795 col.: pensylvanicus clear.debris"
