genus.species,spec.epithet,ident,auth,Year
Agapostemon splendens,splendens,B,Lepeletier,2014
Agapostemon splendens,splendens,JCB,Lepeletier,2014
Agapostemon splendens,splendens,SDR,Lepeletier,2014
Agapostemon splendens,splendens,W,Lepeletier,2014
Agapostemon splendens,splendens,W,Lepeletier,2014
Agapostemon splendens,splendens,B,Lepeletier,2014
Agapostemon splendens,splendens,JCB,Lepeletier,2014
Agapostemon splendens,splendens,W,Lepeletier,2014
Agapostemon splendens,splendens,W,Lepeletier,2014
Agapostemon splendens,splendens,W,Lepeletier,2014
Apis mellifera,mellifera,IGG,Linnaeus,2014
Apis mellifera,mellifera,IGG,Linnaeus,2014
Apis mellifera,mellifera,JCB,Linnaeus,2014
Apis mellifera,mellifera,SDR,Linnaeus,2014
Apis mellifera,mellifera,SDR,Linnaeus,2014
Apis mellifera,mellifera,IGG,Linnaeus,2014
Apis mellifera,mellifera,IGG,Linnaeus,2014
Apis mellifera,mellifera,IGG,Linnaeus,2014
Apis mellifera,mellifera,JCB,Linnaeus,2014
Apis mellifera,mellifera,W,Linnaeus,2014
Augochlorella aurata,aurata,Y,Smith,2014
Augochloropsis metallica,metallica,JCB,Fabricius,2014
Augochloropsis metallica,metallica,JCB,Fabricius,2014
Augochloropsis sumptuosa,sumptuosa,IGG,Smith,2014
Bombus impatiens,impatiens,IGG,Cresson,2014
Bombus impatiens,impatiens,SDR,Cresson,2014
Bombus griseocollis,griseocollis,SDR,De Geer,2014
